,LogP,QED,TPSA,Rings,Chiral_Centers
count,457.0,457.0,457.0,457.0,457.0
mean,1.497193894967178,0.7025134618500428,102.93763676148797,3.3719912472647704,0.3588621444201313
std,0.7345787709461197,0.1572554674220714,19.667998823881064,0.9674091461545956,0.8180349372647456
min,-0.6856999999999975,0.14394752235342997,9.23,0.0,0.0
25%,0.9631000000000003,0.6429221738756908,100.26,3.0,0.0
50%,1.4379999999999995,0.774755656101558,105.81,4.0,0.0
75%,1.9319000000000002,0.7823250344771154,109.38000000000001,4.0,0.0
max,5.107200000000004,0.9067108961832396,167.83,5.0,4.0
